Time_s,Event,Priority,Size_bytes
1.51803,Rx_802.15.4,N/A,10
1.53704,Rx_802.15.4,N/A,10
1.53825,Rx_802.15.4,N/A,10
1.54,Rx_802.15.4,N/A,10
2.01691,Rx_802.15.4,N/A,10
2.05181,Rx_802.15.4,N/A,90
2.05181,Tx_WiFi,2,90
2.05683,Rx_802.15.4,N/A,90
2.05683,Tx_WiFi,2,90
2.06621,Rx_802.15.4,N/A,90
2.06621,Tx_WiFi,2,90
2.07251,Rx_802.15.4,N/A,90
2.07251,Tx_WiFi,2,90
2.07882,Rx_802.15.4,N/A,90
2.07882,Tx_WiFi,2,90
2.08362,Rx_802.15.4,N/A,90
2.08362,Tx_WiFi,2,90
2.09024,Rx_802.15.4,N/A,90
2.09024,Tx_WiFi,2,90
2.09757,Rx_802.15.4,N/A,90
2.09757,Tx_WiFi,2,90
2.10387,Rx_802.15.4,N/A,90
2.10387,Tx_WiFi,2,90
2.54269,Rx_802.15.4,N/A,90
2.54269,Tx_WiFi,2,90
2.54771,Rx_802.15.4,N/A,90
2.54771,Tx_WiFi,2,90
2.55773,Rx_802.15.4,N/A,90
2.55773,Tx_WiFi,2,90
2.56243,Rx_802.15.4,N/A,90
2.56243,Tx_WiFi,2,90
2.56742,Rx_802.15.4,N/A,49
2.56742,Tx_WiFi,2,49
2.57277,Rx_802.15.4,N/A,90
2.57277,Tx_WiFi,2,90
2.57731,Rx_802.15.4,N/A,35
2.57731,Tx_WiFi,2,35
2.58845,Rx_802.15.4,N/A,90
2.58845,Tx_WiFi,2,90
2.59315,Rx_802.15.4,N/A,90
2.59315,Tx_WiFi,2,90
2.60477,Rx_802.15.4,N/A,90
2.60477,Tx_WiFi,1,90
2.9724,Rx_802.15.4,N/A,10
3.01372,Rx_802.15.4,N/A,10
3.03389,Rx_802.15.4,N/A,90
3.03389,Tx_WiFi,2,90
3.03891,Rx_802.15.4,N/A,90
3.03891,Tx_WiFi,2,90
3.04989,Rx_802.15.4,N/A,90
3.04989,Tx_WiFi,2,90
3.05523,Rx_802.15.4,N/A,90
3.05523,Tx_WiFi,2,90
3.52509,Rx_802.15.4,N/A,90
3.52509,Tx_WiFi,2,90
3.53043,Rx_802.15.4,N/A,90
3.53043,Tx_WiFi,2,90
3.54109,Rx_802.15.4,N/A,90
3.54109,Tx_WiFi,2,90
3.54643,Rx_802.15.4,N/A,90
3.54643,Tx_WiFi,2,90
3.55242,Rx_802.15.4,N/A,90
3.55242,Tx_WiFi,2,90
3.57085,Rx_802.15.4,N/A,90
3.57085,Tx_WiFi,2,90
3.57715,Rx_802.15.4,N/A,90
3.57715,Tx_WiFi,2,90
3.58685,Rx_802.15.4,N/A,90
3.58685,Tx_WiFi,2,90
3.59155,Rx_802.15.4,N/A,90
3.59155,Tx_WiFi,2,90
3.60317,Rx_802.15.4,N/A,90
3.60317,Tx_WiFi,0,90
4.01821,Rx_802.15.4,N/A,90
4.01821,Tx_WiFi,2,90
4.02451,Rx_802.15.4,N/A,90
4.02451,Tx_WiFi,2,90
4.03453,Rx_802.15.4,N/A,90
4.03453,Tx_WiFi,2,90
4.04083,Rx_802.15.4,N/A,90
4.04083,Tx_WiFi,2,90
4.0465,Rx_802.15.4,N/A,90
4.0465,Tx_WiFi,2,90
4.05258,Rx_802.15.4,N/A,90
4.05258,Tx_WiFi,2,90
4.0576,Rx_802.15.4,N/A,90
4.0576,Tx_WiFi,2,90
4.06557,Rx_802.15.4,N/A,90
4.06557,Tx_WiFi,2,90
4.07059,Rx_802.15.4,N/A,90
4.07059,Tx_WiFi,2,90
4.50781,Rx_802.15.4,N/A,90
4.50781,Tx_WiFi,2,90
4.51283,Rx_802.15.4,N/A,90
4.51283,Tx_WiFi,2,90
4.52413,Rx_802.15.4,N/A,90
4.52413,Tx_WiFi,2,90
4.52915,Rx_802.15.4,N/A,90
