Time_s,NodeID,SeqNum,Priority,Size_bytes
2.04678,2,2550202623,2,101
2.04678,2,2566979839,2,101
2.06214,3,1812005119,2,101
2.06214,3,1828782335,2,101
2.06214,3,1845559551,2,101
2.0775,5,1845559551,2,101
2.0775,5,1862336767,2,101
2.09286,10,3791716607,2,101
2.09286,10,3808493823,2,101
2.5383,2,2583757055,2,101
2.5383,2,2600534271,2,101
2.55366,3,1862336767,2,101
2.55366,3,1879113983,2,101
2.55366,3,1895891199,2,60
2.56902,5,1879113983,2,101
2.56902,5,1895891199,2,46
2.58438,10,3825271039,2,101
2.58438,10,3842048255,2,101
2.59974,8,3925934335,1,101
3.02982,2,2617311487,2,101
3.02982,2,2634088703,2,101
3.04518,10,3858825471,2,101
3.04518,10,3875602687,2,101
3.52102,2,2650865919,2,101
3.52102,2,2667643135,2,101
3.53638,3,1929445631,2,101
3.53638,3,1946222847,2,101
3.53638,3,1963000063,2,101
3.5671,5,1929445631,2,101
3.5671,5,1946222847,2,101
3.58246,10,3892379903,2,101
3.58246,10,3909157119,2,101
3.59782,8,3942711551,0,101
4.01382,2,2684420351,2,101
4.01382,2,2701197567,2,101
4.02918,3,1979777279,2,101
4.02918,3,1996554495,2,101
4.02918,3,2013331711,2,101
4.04454,5,1963000063,2,101
4.04454,5,1979777279,2,101
4.0599,10,3925934335,2,101
4.0599,10,3942711551,2,101
4.50406,2,2717974783,2,101
4.50406,2,2734751999,2,101
4.51942,3,2030108927,2,101
4.51942,3,2046886143,2,101
4.51942,3,2063663359,2,68
4.53478,5,1996554495,2,101
4.53478,5,2013331711,2,50
4.55014,10,3959488767,2,101
4.55014,10,3976265983,2,101
4.5655,8,3959488767,1,101
4.99526,2,2751529215,2,101
4.99526,2,2768306431,2,46
5.01062,10,3993043199,2,101
5.01062,10,4009820415,2,101
5.02598,8,3976265983,1,101
5.48646,3,2097217791,2,101
5.48646,3,2113995007,2,101
5.48646,3,2130772223,2,101
5.50182,5,2046886143,2,101
5.50182,5,2063663359,2,101
5.51718,10,4026597631,2,101
5.51718,10,4043374847,2,101
5.9783,2,2801860863,2,101
5.9783,2,2818638079,2,101
5.99366,3,2147549439,2,101
5.99366,3,2164326655,2,101
5.99366,3,2181103871,2,60
6.00902,5,2080440575,2,101
6.00902,5,2097217791,2,101
6.02438,10,4060152063,3,101
6.02438,10,4076929279,3,101
6.03974,8,3993043199,1,101
6.4695,2,2835415295,2,101
6.4695,2,2852192511,2,101
6.48486,5,2113995007,2,101
6.48486,5,2130772223,2,50
6.50022,10,4093706495,2,101
6.50022,10,4110483711,2,101
6.51558,8,4009820415,1,101
6.96294,2,2868969727,2,101
6.96294,2,2885746943,2,101
6.9783,3,2214658303,2,101
6.9783,3,2231435519,2,101
6.9783,3,2248212735,2,101
7.00902,10,4127260927,2,101
7.00902,10,4144038143,2,101
7.45414,2,2902524159,0,101
7.45414,2,2919301375,0,101
7.4695,3,2264989951,2,101
7.4695,3,2281767167,2,101
7.4695,3,2298544383,2,101
7.48486,5,2164326655,2,101
7.48486,5,2181103871,2,101
7.50022,10,4160815359,2,101
7.50022,10,4177592575,2,101
7.51558,8,4026597631,1,101
7.94406,2,2936078591,2,101
7.94406,2,2952855807,2,101
7.95942,3,2315321599,2,101
7.95942,3,2332098815,2,101
7.95942,3,2348876031,2,59
7.97478,5,2197881087,0,101
7.97478,5,2214658303,0,49
7.99014,10,4194369791,2,101
7.99014,10,4211147007,2,48
8.43558,2,2969633023,2,101
8.43558,2,2986410239,2,101
8.45094,8,4043374847,1,101
8.92806,2,3003187455,0,101
8.92806,2,3019964671,0,101
8.94342,3,2382430463,2,101
8.94342,3,2399207679,2,101
8.94342,3,2415984895,2,101
8.97414,5,2248212735,2,101
8.97414,5,2264989951,2,101
8.9895,10,4244701439,2,101
8.9895,10,4261478655,2,101
9.00486,8,4060152063,1,101
9.4183,2,3036741887,2,101
9.4183,2,3053519103,2,101
9.43366,3,2432762111,2,101
9.43366,3,2449539327,2,101
9.43366,3,2466316543,2,101
9.44902,5,2281767167,2,101
9.44902,5,2298544383,2,101
9.46438,10,4278255871,2,101
9.46438,10,65791,2,101
9.9111,2,3070296319,2,101
9.9111,2,3087073535,2,101
9.92646,3,2483093759,2,101
9.92646,3,2499870975,2,101
9.92646,3,2516648191,2,60
9.94182,5,2315321599,2,101
9.94182,5,2332098815,2,50
9.95718,10,16843007,2,101
9.95718,10,33620223,2,101
9.97254,8,4076929279,1,101
10.4013,2,3103850751,2,101
10.4013,2,3120627967,2,101
10.4167,10,50397439,2,101
10.4167,10,67174655,2,101
10.4321,8,4093706495,1,101
10.8932,2,3137405183,2,101
10.8932,2,3154182399,2,101
10.9085,3,2550202623,2,101
10.9085,3,2566979839,2,101
10.9085,3,2583757055,2,101
10.9239,5,2365653247,2,101
10.9239,5,2382430463,2,101
10.9393,10,83951871,2,101
10.9393,10,100729087,2,101
11.3853,2,3170959615,2,101
11.3853,2,3187736831,2,101
11.4007,3,2600534271,2,101
11.4007,3,2617311487,2,101
11.4007,3,2634088703,2,101
11.4161,5,2399207679,2,101
11.4161,5,2415984895,2,101
11.4314,10,117506303,2,101
11.4314,10,134283519,2,101
11.4468,8,4110483711,1,101
11.4621,11,2634088703,3,82
11.8778,2,3204514047,0,101
11.8778,2,3221291263,0,101
11.8932,3,2650865919,2,101
11.8932,3,2667643135,2,101
11.8932,3,2684420351,2,56
11.9085,5,2432762111,3,101
11.9085,5,2449539327,3,49
11.9239,10,151060735,2,101
11.9239,10,167837951,2,101
11.9393,8,4127260927,1,101
12.369,2,3238068479,2,101
12.369,2,3254845695,2,101
12.3844,10,184615167,2,101
12.3844,10,201392383,2,101
12.8612,2,3271622911,2,101
12.8612,2,3288400127,2,101
12.8765,3,2717974783,2,101
12.8765,3,2734751999,2,101
12.8765,3,2751529215,2,101
12.8919,5,2483093759,2,101
12.8919,5,2499870975,2,101
12.9073,10,218169599,2,101
12.9073,10,234946815,2,101
12.9226,8,4144038143,1,101
13.3514,2,3305177343,2,101
13.3514,2,3321954559,2,101
13.3668,3,2768306431,2,101
13.3668,3,2785083647,2,101
13.3668,3,2801860863,2,51
13.3975,5,2516648191,2,101
13.3975,5,2533425407,2,101
13.4129,10,251724031,2,101
13.4129,10,268501247,2,101
13.8423,2,3338731775,2,101
13.8423,2,3355508991,2,101
13.8577,5,2550202623,2,101
13.8577,5,2566979839,2,50
13.873,10,285278463,2,101
13.873,10,302055679,2,101
13.8884,8,4160815359,1,101
13.9037,9,2868969727,3,84
14.3341,2,3372286207,2,101
14.3341,2,3389063423,2,101
14.3495,3,2835415295,2,101
14.3495,3,2852192511,2,101
14.3495,3,2868969727,2,101
14.3802,10,318832895,2,101
14.3802,10,335610111,2,101
14.3956,8,4177592575,3,101
14.8273,2,3405840639,2,101
14.8273,2,3422617855,2,101
14.8426,3,2885746943,2,101
14.8426,3,2902524159,2,101
14.8426,3,2919301375,2,101
14.8733,5,2600534271,2,101
14.8733,5,2617311487,2,101
14.8887,10,352387327,2,101
14.8887,10,369164543,2,101
15.3178,2,3439395071,2,101
15.3178,2,3456172287,2,101
15.3332,3,2936078591,2,101
15.3332,3,2952855807,2,101
15.3332,3,2969633023,2,65
15.3485,5,2634088703,2,101
15.3485,5,2650865919,2,101
15.3639,10,385941759,2,101
15.3639,10,402718975,2,101
15.3793,8,4194369791,3,101
15.8097,2,3472949503,2,101
15.8097,2,3489726719,2,101
15.825,5,2667643135,2,101
15.825,5,2684420351,2,49
15.8404,10,419496191,2,101
15.8404,10,436273407,2,101
15.8557,8,4211147007,1,101
16.3005,2,3506503935,0,101
16.3005,2,3523281151,0,101
16.3159,3,3003187455,2,101
16.3159,3,3019964671,2,101
16.3159,3,3036741887,2,101
16.3313,10,453050623,2,101
16.3313,10,469827839,2,101
16.793,2,3540058367,2,101
16.793,2,3556835583,2,101
16.8084,3,3053519103,2,101
16.8084,3,3070296319,2,101
16.8084,3,3087073535,2,101
16.8237,5,2717974783,2,101
16.8237,5,2734751999,2,101
16.8391,10,486605055,2,101
16.8391,10,503382271,2,101
16.8545,8,4227924223,3,101
17.2845,2,3573612799,2,101
17.2845,2,3590390015,2,101
17.2999,3,3103850751,2,101
17.2999,3,3120627967,2,101
17.2999,3,3137405183,2,61
17.3153,5,2751529215,2,101
17.3153,5,2768306431,2,49
17.3306,10,520159487,2,101
17.3306,10,536936703,2,101
17.7764,2,3607167231,2,101
17.7764,2,3623944447,2,101
17.7917,10,553713919,2,101
17.7917,10,570491135,2,101
17.8071,8,4244701439,1,101
17.8225,11,2667643135,3,84
18.2673,2,3640721663,0,101
18.2673,2,3657498879,0,101
18.2826,3,3170959615,2,101
18.2826,3,3187736831,2,101
18.2826,3,3204514047,2,101
18.298,5,2801860863,0,101
18.298,5,2818638079,0,101
18.3133,10,587268351,2,101
18.3133,10,604045567,2,101
18.3287,8,4261478655,1,101
18.7575,2,3674276095,2,101
18.7575,2,3691053311,2,101
18.7729,3,3221291263,2,101
18.7729,3,3238068479,2,101
18.7729,3,3254845695,2,57
18.7882,5,2835415295,2,101
18.7882,5,2852192511,2,101
18.8036,10,620822783,2,101
18.8036,10,637599999,2,101
19.249,2,3707830527,2,101
19.249,2,3724607743,2,49
19.2644,5,2868969727,2,101
19.2644,5,2885746943,2,49
19.2797,10,654377215,2,101
19.2797,10,671154431,2,101
19.2951,8,4278255871,1,101
19.7405,3,3288400127,2,101
19.7405,3,3305177343,2,101
19.7405,3,3321954559,2,101
19.7713,10,687931647,2,101
19.7713,10,704708863,2,101
19.7866,8,65791,1,101
20.2324,2,3758162175,2,101
20.2324,2,3774939391,2,101
20.2477,3,3338731775,2,101
20.2477,3,3355508991,2,101
20.2477,3,3372286207,2,101
20.2631,5,2919301375,2,101
20.2631,5,2936078591,2,101
20.2785,10,721486079,2,101
20.2785,10,738263295,2,101
20.7233,2,3791716607,0,101
20.7233,2,3808493823,0,101
20.7386,3,3389063423,2,101
20.7386,3,3405840639,2,101
20.7386,3,3422617855,2,62
20.754,5,2952855807,2,101
20.754,5,2969633023,2,101
20.7693,10,755040511,2,101
20.7693,10,771817727,2,101
20.7847,8,16843007,1,101
21.2157,2,3825271039,2,101
21.2157,2,3842048255,2,101
21.2311,5,2986410239,2,101
21.2311,5,3003187455,2,47
21.2465,10,788594943,2,101
